Dấu thời gian,Số người,Số máy lạnh,Số quạt máy và thời gian sử dụng 1 ngày?,Phòng có tủ lạnh không?,Số giờ bật máy lạnh ,Diện tích,Loại nhà,Tiền điện trung bình 1 tháng là bao nhiêu vnd?
11/05/2026 01:06:00,4,1,3 và 24h,Có,8,15,Trọ,116000
11/05/2026 01:07:00,2,1,1 và 10h,Có,12,20,Căn hộ,2000000
11/05/2026 01:08:00,4,1,4 và 24h,Có,7,30,Trọ,500000
11/05/2026 01:09:00,2,1,2 và 20h,Có,2,35,Trọ,250000
11/05/2026 01:10:00,4,1,1và 7h,Có,5,25,Trọ,400000
11/05/2026 01:11:00,1,1,2 và 24h,Không,10,30,Trọ,400000
11/05/2026 01:12:00,7,1,1 và 10h,Có,4,25,Trọ,8000000
11/05/2026 01:13:00,1,1,1  và 12h,Không,0,10,Trọ,1000000
11/05/2026 01:14:00,1,1,3 và 24h,Không,10,300,Chung cư,4000000
11/05/2026 01:15:00,3,1,2 và 8h,Không,4,20,Trọ,390000
11/05/2026 01:16:00,3,1,1 và 24h,Có,0,30,Chung cư,1000000
11/05/2026 01:17:00,7,2,1 và 10h,Có,12,25,Trọ,1000000
11/05/2026 01:18:00,2,1,3 và 24h,Có,10,10,Nhà nguyên căn,1500000
11/05/2026 01:19:00,3,1,1 và 8h,Không,10,100,Trọ,390000
11/05/2026 01:20:00,2,1,1 và 10h,Không,8,30,Trọ,390000
11/05/2026 01:21:00,7,2,1 và 10h,Có,8,25,Trọ,1500000
11/05/2026 01:22:00,3,1,1 và 24h,Không,8,10,Nhà nguyên căn,1600000
11/05/2026 01:23:00,1,1,1 và 24h,Có,12,25,Trọ,116000
11/05/2026 01:24:00,1,1,0 và 0h,Không,1,16,Trọ,500000
11/05/2026 01:25:00,4,1,2 và 24h,Có,24,30,Trọ,900000
11/05/2026 01:26:00,4,1,1 và 10h,Không,8,20,Trọ,250000
11/05/2026 01:27:00,4,1,2 và 20h,Có,15,15,Trọ,600000
11/05/2026 01:28:00,1,2,2 và 10h,Không,8,36,Nhà nguyên căn,700000
11/05/2026 01:29:00,3,1,0 và 0h,Có,8,36,Căn hộ,250000
11/05/2026 01:30:00,7,1,2 và 8h,Không,10,10,Trọ,250000
11/05/2026 01:31:00,7,1,3 và 24h,Có,0,25,Nhà nguyên căn,150000
11/05/2026 01:32:00,3,2,1 và 24h,Có,4,20,Chung cư,1100000
11/05/2026 01:33:00,1,0,3 và 24h,Không,10,25,Trọ,800000
11/05/2026 01:34:00,3,1,1 và 24h,Có,4,15,Trọ,4000000
11/05/2026 01:35:00,2,1,0 và 0h,Có,4,25,Trọ,116000
11/05/2026 01:36:00,2,1,1 và 4h,Không,0,16,Trọ,800000
11/05/2026 01:37:00,7,1,0 và 0h,Có,0,25,Trọ,500000
11/05/2026 01:38:00,3,1,1  và 12h,Có,4,300,Căn hộ,600000
11/05/2026 01:39:00,4,2,1 và 10h,Có,12,15,Nhà nguyên căn,150000
11/05/2026 01:40:00,3,1,2 và 24h,Có,0,10,Trọ,250000
11/05/2026 01:41:00,2,1,1 và 24h,Có,5,25,Trọ,1500000
11/05/2026 01:42:00,3,1,1 và 10h,Không,10,30,Trọ,800000
11/05/2026 01:43:00,2,1,1 và 10h,Không,25,25,Trọ,900000
11/05/2026 01:44:00,4,1,1 và 4h,Không,4,10,Trọ,800000
11/05/2026 01:45:00,2,2,1 và 2h,Có,0,30,Trọ,900
11/05/2026 01:46:00,2,2,2 và 10h,Có,0,20,Nhà nguyên căn,350000
11/05/2026 01:47:00,1,1,1 và 10h,Không,4,100,Trọ,600000
11/05/2026 01:48:00,1,1,1 và 10h,Có,8,5,Trọ,200000
11/05/2026 01:49:00,2,1,1 và 10h,Không,8,25,Trọ,350000
11/05/2026 01:50:00,1,1,1 và 24h,Có,8,10,Trọ,900000
11/05/2026 01:51:00,4,1,1 và 10h,Có,5,36,Nhà nguyên căn,900000
11/05/2026 01:52:00,7,1,2 và 24h,Không,1,25,Trọ,300000
11/05/2026 01:53:00,40,1,2 và 24h,Có,3,5,Trọ,500000
11/05/2026 01:54:00,2,1,2 và 12h,Có,8,30,Trọ,1000000
11/05/2026 01:55:00,3,1,2 và 24h,Có,8,10,Trọ,116000
11/05/2026 01:56:00,1,2,3 và 24h,Có,10,25,Nhà nguyên căn,1000000
11/05/2026 01:57:00,1,1,1 và 10h,Có,8,15,Trọ,500000
11/05/2026 01:58:00,3,2,3 và 24h,Có,10,25,Chung cư,400000
11/05/2026 01:59:00,3,1,4 và 24h,Không,8,15,Trọ,500000
11/05/2026 02:00:00,7,1,1 và 3h,Không,8,10,Ký túc xá,500000
11/05/2026 02:01:00,1,1,3 và 24h,Có,10,30,Trọ,500000
11/05/2026 02:02:00,3,1,1 và 2h,Có,8,25,Trọ,5000000
11/05/2026 02:03:00,1,1,1  và 12h,Có,6,35,Trọ,116000
11/05/2026 02:04:00,2,1,3 và 24h,Có,0,30,Trọ,250000
11/05/2026 02:05:00,2,1,1 và 10h,Có,8,12,Trọ,2000000
11/05/2026 02:06:00,2,2,1  và 12h,Không,8,25,Trọ,500000
11/05/2026 02:07:00,2,1,3 và 24h,Có,1,15,Trọ,350000
11/05/2026 02:08:00,2,1,1 và 24h,Có,8,150,Trọ,350000
11/05/2026 02:09:00,1,1,3 và 24h,Có,4,20,Trọ,250000
11/05/2026 02:10:00,2,1,2 và 24h,Có,6,10,Trọ,990000
11/05/2026 02:11:00,2,1,3 và 24h,Không,2,40,Trọ,900
11/05/2026 02:12:00,4,2,2 và 10h,Có,5,5,Căn hộ,600000
11/05/2026 02:13:00,1,1,1 và 24h,Có,8,30,Trọ,200000
11/05/2026 02:14:00,3,1,3 và 24h,Có,10,20,Trọ,900000
11/05/2026 02:15:00,3,1,1 và 10h,Có,10,20,Trọ,600000
11/05/2026 02:16:00,2,1,1 và 4h,Có,24,25,Trọ,900
11/05/2026 02:17:00,3,1,0 và 0h,Có,5,25,Chung cư,500000
11/05/2026 02:18:00,2,0,2 và 24h,Có,10,36,Trọ,4000000
11/05/2026 02:19:00,2,1,1 và 10h,Có,10,30,Chung cư,1000000
11/05/2026 02:20:00,40,1,3 và 24h,Có,25,36,Trọ,500000
11/05/2026 02:21:00,2,0,3 và 24h,Có,8,50,Kí túc xá,8000000
11/05/2026 02:22:00,2,0,2 và 24h,Không,3,35,Trọ,350000
11/05/2026 02:23:00,3,1,0 và 0h,Có,0,20,Chung cư,800000
11/05/2026 02:24:00,2,1,1 và 10h,Có,5,5,Chung cư,250000
11/05/2026 02:25:00,1,1,1 và 2h,Có,0,14,Nhà nguyên căn,700000
11/05/2026 02:26:00,3,1,1 và 10h,Có,1,15,Chung cư,116000
11/05/2026 02:27:00,3,1,2 và 24h,Có,1,30,Ký túc xá,800000
11/05/2026 02:28:00,7,0,1  và 12h,Có,5,20,Trọ,400000
11/05/2026 02:29:00,4,1,2 và 12h,Có,10,20,Trọ,300000
11/05/2026 02:30:00,7,0,3 và 24h,Có,12,30,Trọ,116000
11/05/2026 02:31:00,4,1,0 và 0h,Có,10,16,Trọ,600000
11/05/2026 02:32:00,2,1,1 và 10h,Có,4,20,Phòng trọ,350000
11/05/2026 02:33:00,2,0,2 và 24h,Không,4,25,Chung cư,700000
11/05/2026 02:34:00,7,2,2 và 8h,Không,3,10,Trọ,1100000
11/05/2026 02:35:00,2,2,1  và 12h,Có,3,25,Trọ,400000
11/05/2026 02:36:00,3,1,0 và 0h,Không,8,25,Nhà nguyên căn,700000
11/05/2026 02:37:00,3,1,3 và 24h,Có,8,25,Chung cư,5000000
11/05/2026 02:38:00,2,1,2 và 12h,Không,8,12,Trọ,200000
11/05/2026 02:39:00,2,1,3 và 24h,Không,0,14,Trọ,1000000
